CODICE_VIA;DENOMINAZIONE;UBICAZIONE;NUMERO_DELIBERAZIONE;DATA_DELIBERAZIONE;GIUNTA;NOTE_DENOMINAZIONE
092009_000001;VIA DELL'ABBAZIA;VIA DEI CONVERSI - VIA STOCCOLMA;1149;21/02/1964;G.M.;IN RICORDO DELLE VICENDE STORICHE DEL LUOGO -COSTA ORIENTALE DEL CARNARO (PROV. FIUME);
092009_000002;VIA DELL'ABBONDANZA;VIA S.MARIA GORETTI - (chiuso);1429;25/09/1951;G.M.;DENOMINAZIONE TRADIZIONALE;
092009_000003;VIA ABRUZZI;PIAZZA S. MICHELE -  PIAZZA DEI CASTELLANI;35;17/07/1950;C.C.;REGIONE D'ITALIA BAGNATA AD ORIENTE DALL'ADRIATICO E COMPRENDENTE LE CIME PIU' ELEVATE DELL'APPENNINO.;
092009_000004;VIA GIOVANNI ACUTO;VIA STAMIRA - VIA TAMBURINO SARDO;131;29/01/1980;G.M.;CONDOTTIERO DI VENTURA, INGLESE, AL SERVIZIO DI PISA, DELLA CHIESA E DI FIRENZE (NATO NEL 1320 - MORTO NEL 1394);
092009_000005;VIA ADAMELLO;VIA MONTELLO - VIA MONTELLO;2785;18/07/1969;G.M.;GRUPPO MONTUOSO CULMINANTE CON L' OMONIMO MONTE, TRA IL TRENTINO E LA LOMBARDIA, CON GHIACCIAI E PITTORESCHE VALLI. VETTA PIU' ALTA m.3554.TRAE IL NOME DALLA VALLE DELL'ADAME', DOPO LE ALPI RETICHE FORMA IL PRIMO TRATTO DELLE ALPI CANONICHE.;
092009_000006;VIA ADIGE;VIA PIAVE - VIA PO;219;03/12/1925;C.P.;FIUME DELL' ITALIA SETTENTRIONALE, LUNGO 410 Km. IL SECONDO D' ITALIA.NASCE DAL PASSO DI RESIA, ATTRAVERSA IL TRENTINO ALTO ADIGE, IL VENETO E SFOCIA NELL'ADRIATICO A NORD DEL PO.;
092009_000007;VIA AFRICO;VIA FAVONIO - VIA SCIROCCO;1706;14/05/1975;G.M.;VENTO DEL SUD.;
092009_000008;VIA AGOSTINO DI CASTELVI';VIA DEI CONVERSI - VIA CARRILLO MARTINO;4799;16/11/1964;G.M.;STATISTA, MARCHESE DI LACONI.(NATO A CAGLIARI NEI PRIMI ANNI DEL 1600 - MORTO IL 20/06/1668).;
092009_000009;VIA AGRIGENTO;VIA CATANIA - (chiuso);850;27/03/1971;G.M.;CITTA' DELLA SICILIA, CAPOLUOGO DI PROVINCIA.LA CITTA' SI DISTENDE SU UNA COLLINA FRA I 1200 /1250 METRI DI ALTITUDINE, CON UN' AMPIA VISTA SUL MARE.ANTICAMENTE COLONIA GRECA, FU SOTTOMESSA DA SIRACUSA, DISTRUTTA DAI CARTAGINESI E OCCUPATA DAI ROMANI.;
092009_000010;VIA AIACCIO;VIA MOSCA - VIA PARIGI;276;27/01/1984;G.M.;CAPOLUOGO DELLA CORSICA, SULLA COSTA OCCIDENTALE.EDIFICATA DAI GENOVESI NEL 1492.DIEDE I NATALI A NAPOLEONE.;
092009_000011;VIA DEGLI AIRONI;VIA TAMBURINO SARDO - VIA BARRACCA MANNA;850;27/03/1971;G.M.;UCCELLI DELLA FAMIGLIA ARDEIDAE DELL'ORDINE CICONIFORMI.UCCELLO CHE VIVE IN LUOGHI PALUDOSI.NOTI IN ITALIA: L'AIRONE ROSSO (ARDEA PURPUREA) L'AIRONE CENERINO (ARDEA CINEREA) L'AIRONE GUARDA BUOI (ARDEOLA IBIS)O;
092009_000012;VIA L'AJA;VIA GALVANI LUIGI - VIA COSTANTINOPOLI;2303;05/07/1968;G.M.;CITTA' DELL'OLANDA SEDE DELLA CORTE INTERNAZIONALE DI GIUSTIZIA E DELLA CORTE D'ARBITRATO.;
092009_000013;VIA LEONARDO ALAGON;VIA ALGHERO - VIA FARINA SALVATORE;219;03/12/1925;C.P.;MARCHESE DI ORISTANO.ESEMPIO ILLUSTRE DELLA LOTTA TENACE CON CUI I SARDI CONTRASTARONOIL DOMINIO E LA PREPOTENZA SPAGNOLA.(NATO NEL 1436 - MORTO A VALENZA NEL 1490);
092009_000014;VIA LEON BATTISTA ALBERTI;PIAZZA GIOVANNI XXIII - VIA GOLDONI CARLO;2365;21/09/1961;G.M.;FAMOSO LETTERATO, ARCHITETTO, SCULTORE, MATEMATICO, FILOSOFO, MUSICOLOGO, PITTORE E POETA.(NATO NEL 1404 - MORTO A ROMA IL 25/04/1472);
092009_000015;VIA ALBERTO DA GIUSSANO;VIA BALILLA - VIA ENRICO TOTI;;;;CAPITANO DI VENTURA, CAVALIERE MILANESE. ORGANIZZO' LA COMPAGNIA DELLA MORTE NELLA BATTAGLIA DI LEGNANO CONTRO IL BARBAROSSA. (1176);
092009_000016;PIAZZA ALDEBARAN;VIA DELLE ALLODOLE - VIA DELLE TORTORE;2303;05/07/1968;G.M.;STELLA DELLA COSTELLAZIONE DEL TORO.;
092009_000017;VIA GIORGIO ALEO;VIA CAMPANIA - VIA MATTEI SAVERIO;1706;14/05/1975;G.M.;STORICO E SCRITTORE.PADRE GIORGIO APPARTENEVA ALL'ORDINE DEI CAPPUCCINI.;
092009_000018;VIA ALESSANDRO TERZO;VIA M.A.BRAGADIN - VIA DEGLI AIRONI;;;;NOME DI PAPA, ROLANDO BANDINELLI SOSTENNE LA LEGA LOMBARDA CONTRO IL BARBAROSSA; BANDI' LA CROCIATA CONTRO GLI ALBIGESI. (NATO NEL 1100 - MORTO NEL 1181);
092009_000019;VIA VITTORIO ALFIERI;VIA CARDUCCI - VIA TIZIANO;730;21/03/1958;G.M.;POETA DRAMMATURGO.(NATO AD ASTI 1749 - MORTO A FIRENZE 1803);
