DATA;ORA_REGISTRAZIONE;LUOGO;CIVICO;INTERSEZIONE_STRADALE;TIPOLOGIA;NATURA_SINISTRO;VEICOLI;MASCHI;FEMMINE;PROGNOSI_MIN_30_GIORNI;PROGNOSI_MAG_30_GIORNI;PROGNOSI_RISERVATA;DECEDUTI
2015-01-01;12:19:00;VIA BARRACCA MANNA;46;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;0;0;0;0;0;0;
2015-01-01;05:46:00;ASSE MEDIANO DI SCORRIMENTO;KM. 8,700;;Incidente stradale con feriti;Uscita x sbandamento;1;0;1;1;0;0;0;
2015-01-01;03:15:00;VIA MONTE SABOTINO;11;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;1;0;0;0;0;0;
2015-01-02;23:11:00;PIAZZA CASTELLANI;;;Incidente stradale con feriti;Caduta dal veicolo x imperizia;1;1;0;0;1;0;0;
2015-01-03;02:56:00;VIALE MONASTIR;sn;VIA DEL FANGARIO;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0;
2015-01-03;16:52:00;VIA BACAREDDA;< x >;VIA BALBO;Incidente stradale senza feriti;Tamponamento;2;2;0;0;0;0;0;
2015-01-03;06:30:00;VIA LUNGO SALINE;sn;VIA MONTECRISTO;Incidente stradale senza feriti;Uscita x sbandamento;1;1;0;0;0;0;0;
2015-01-04;20:37:00;ROTATORIA CADELLO/IS MIRRIONIS;sn;VIA CAMPANIA;Incidente stradale senza feriti;Urto laterale;2;0;2;0;0;0;0;
2015-01-04;19:03:00;S.S. 195;sn;;Incidente stradale senza feriti;Frontale / laterale;2;2;0;0;0;0;0;
2015-01-04;04:48:00;VIALE POETTO;sn;VIA TRAMONTANA;Incidente stradale senza feriti;Frontale / laterale;2;1;1;0;0;0;0;
2015-01-05;09:48:00;VIA S.ALENIXEDDA;79;;Danneggiamento;Cornicione su auto;2;0;0;0;0;0;0;
2015-01-05;16:40:00;VIA DEI GENOVESI;< x >;VIA FIUME;Danneggiamento;Danneggiamento auto in sosta;1;0;0;0;0;0;0;
2015-01-05;16:41:00;VIALE LA PLAIA;26;;Incidente stradale con feriti;Tamponamento;3;3;0;1;0;0;0;
2015-01-05;12:32:00;VIA BACAREDDA;sn;;Incidente stradale senza feriti;Tamponamento;2;1;1;0;0;0;0;
2015-01-05;12:17:00;VIA SONNINO;sn;VIA XX SETTEMBRE;Incidente stradale senza feriti;Tamponamento;2;2;0;0;0;0;0;
2015-01-06;19:07:00;VIA CASTELLI;sn;VIA CASTELLI;Incidente stradale con feriti;Frontale / laterale;2;3;0;2;1;0;0;
2015-01-06;17:31:00;VIA PO;sn;VIA S.GILLA;Incidente stradale senza feriti;Frontale / laterale;2;1;1;0;0;0;0;
2015-01-06;10:05:00;VIA SCANO;sn;;Incidente stradale senza feriti;Tamponamento;2;2;0;0;0;0;0;
2015-01-07;19:36:00;ROTATORIA IS PONTIS PARIS;sn;VIALE GUGLIELMO MARCONI;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0;
2015-01-07;19:12:00;VIA SANNA RANDACCIO;64;;Incidente stradale senza feriti;Frontale / laterale;2;1;0;0;0;0;0;
2015-01-07;18:34:00;VIA CALAMATTIA;< x >;VICO RIVA VILLASANTA;Incidente stradale senza feriti;Semaforo rosso;2;1;1;0;0;0;0;
